Ranking,Scoville Level,Name
1,4000,Heartbeat Hot Sauce
2,71000,Bravado Black Garlic
3,99000,Bunster's Black Label
4,36000,Los Calientes
5,7500,Pirate's Lantern
6,2000000,The Last Dab Reduxx
7,600,Howler Monkey
8,135600,Da Bomb
9,24000,Son of Zomie
10,550000,Hellfire Fiery Fool
